,cmip,gcm,rcp,ssp,global_temp_ch_2071-2100_preindustrial
CCSM4_RCP45,CMIP5,CCSM4,rcp45,,2.320555773838864
MPI-ESM-LR_RCP45,CMIP5,MPI-ESM-LR,rcp45,,2.290734450266259
CNRM-CM5_RCP45,CMIP5,CNRM-CM5,rcp45,,2.544986670790197
GFDL-ESM2G_RCP45,CMIP5,GFDL-ESM2G,rcp45,,1.666789436240779
CSIRO-MK3-6-0_RCP45,CMIP5,CSIRO-Mk3-6-0,rcp45,,2.8706316896481234
IPSL-CM5A-LR_RCP45,CMIP5,IPSL-CM5A-LR,rcp45,,2.7839921564480528
GFDL-CM3_RCP45,CMIP5,GFDL-CM3,rcp45,,3.380411848134545
NORESM1-M_RCP45,CMIP5,NorESM1-M,rcp45,,2.259055291712857
GISS-E2-R_RCP45,CMIP5,GISS-E2-R,rcp45,,1.88770318252597
CANESM2_RCP45,CMIP5,CanESM2,rcp45,,2.9837146384554694
CESM1-CAM5_RCP45,CMIP5,CESM1-CAM5,rcp45,,2.967176938010541
CCSM4_RCP60,CMIP5,CCSM4,rcp60,,2.706794597021942
GFDL-ESM2G_RCP60,CMIP5,GFDL-ESM2G,rcp60,,2.0879495499723384
IPSL-CM5A-LR_RCP60,CMIP5,IPSL-CM5A-LR,rcp60,,3.0730296937624098
CSIRO-MK3-6-0_RCP60,CMIP5,CSIRO-Mk3-6-0,rcp60,,2.9534170760139795
NORESM1-M_RCP60,CMIP5,NorESM1-M,rcp60,,2.46321206063516
GFDL-CM3_RCP60,CMIP5,GFDL-CM3,rcp60,,3.716233959134856
GISS-E2-R_RCP60,CMIP5,GISS-E2-R,rcp60,,2.2530869133051987
CESM1-CAM5_RCP60,CMIP5,CESM1-CAM5,rcp60,,3.359894213889904
IPSL-CM5A-LR_RCP26,CMIP5,IPSL-CM5A-LR,rcp26,,1.920616402203168
CSIRO-MK3-6-0_RCP26,CMIP5,CSIRO-Mk3-6-0,rcp26,,2.0905946349411715
NORESM1-M_RCP26,CMIP5,NorESM1-M,rcp26,,1.5455853152232657
GFDL-CM3_RCP26,CMIP5,GFDL-CM3,rcp26,,2.6260002721606406
MPI-ESM-LR_RCP26,CMIP5,MPI-ESM-LR,rcp26,,1.487504187860568
CCSM4_RCP26,CMIP5,CCSM4,rcp26,,1.5794275401255526
GFDL-ESM2G_RCP26,CMIP5,GFDL-ESM2G,rcp26,,0.9159959405309928
CNRM-CM5_RCP26,CMIP5,CNRM-CM5,rcp26,,1.7395706071878316
CANESM2_RCP26,CMIP5,CanESM2,rcp26,,2.1802447642414813
GISS-E2-R_RCP26,CMIP5,GISS-E2-R,rcp26,,1.1798773461519
CESM1-CAM5_RCP26,CMIP5,CESM1-CAM5,rcp26,,2.177137263153216
IPSL-CM5A-LR_RCP85,CMIP5,IPSL-CM5A-LR,rcp85,,4.871367772821374
CSIRO-MK3-6-0_RCP85,CMIP5,CSIRO-Mk3-6-0,rcp85,,4.4166525061210695
GFDL-CM3_RCP85,CMIP5,GFDL-CM3,rcp85,,5.13269353688918
NORESM1-M_RCP85,CMIP5,NorESM1-M,rcp85,,3.670783331113457
CCSM4_RCP85,CMIP5,CCSM4,rcp85,,4.101377764562814
MPI-ESM-LR_RCP85,CMIP5,MPI-ESM-LR,rcp85,,4.058043625176483
CNRM-CM5_RCP85,CMIP5,CNRM-CM5,rcp85,,3.9604764078537777
GFDL-ESM2G_RCP85,CMIP5,GFDL-ESM2G,rcp85,,3.2656293529111644
CANESM2_RCP85,CMIP5,CanESM2,rcp85,,4.934429550509153
GISS-E2-R_RCP85,CMIP5,GISS-E2-R,rcp85,,3.082012858049384
CESM2-WACCM_SSP126,CMIP6,CESM2-WACCM,,ssp126,2.456573120895828
MPI-ESM1-2-HR_SSP126,CMIP6,MPI-ESM1-2-HR,,ssp126,1.669876311421037
GFDL-ESM4_SSP126,CMIP6,GFDL-ESM4,,ssp126,1.692323319719096
NORESM2-MM_SSP126,CMIP6,NorESM2-MM,,ssp126,1.7202262774087012
ACCESS-ESM1-5_SSP126,CMIP6,ACCESS-ESM1-5,,ssp126,2.259495508609009
ACCESS-CM2_SSP126,CMIP6,ACCESS-CM2,,ssp126,2.781734634600584
INM-CM4-8_SSP126,CMIP6,INM-CM4-8,,ssp126,1.5342661974422094
CANESM5_SSP126,CMIP6,CanESM5,,ssp126,2.6464560248033444
IPSL-CM6A-LR_SSP126,CMIP6,IPSL-CM6A-LR,,ssp126,2.194730224609375
INM-CM5-0_SSP126,CMIP6,INM-CM5-0,,ssp126,1.589314325516059
MRI-ESM2-0_SSP126,CMIP6,MRI-ESM2-0,,ssp126,1.982782874789509
CESM2_SSP126,CMIP6,CESM2,,ssp126,2.334600818732385
EC-EARTH3_SSP126,CMIP6,EC-Earth3,,ssp126,2.331473878585316
EC-EARTH3-VEG_SSP126,CMIP6,EC-Earth3-Veg,,ssp126,2.1205808052905035
CAMS-CSM1-0_SSP126,CMIP6,CAMS-CSM1-0,,ssp126,1.51033557121116
BCC-CSM2-MR_SSP126,CMIP6,BCC-CSM2-MR,,ssp126,1.8531595398878289
FGOALS-F3-L_SSP126,CMIP6,FGOALS-f3-L,,ssp126,1.790576094087387
CESM2-WACCM_SSP585,CMIP6,CESM2-WACCM,,ssp585,5.380880227544369
MPI-ESM1-2-HR_SSP585,CMIP6,MPI-ESM1-2-HR,,ssp585,3.716247306770074
GFDL-ESM4_SSP585,CMIP6,GFDL-ESM4,,ssp585,3.754860873549208
NORESM2-MM_SSP585,CMIP6,NorESM2-MM,,ssp585,3.8735566271649895
ACCESS-ESM1-5_SSP585,CMIP6,ACCESS-ESM1-5,,ssp585,4.614209040457526
CMCC-CM2-SR5_SSP585,CMIP6,CMCC-CM2-SR5,,ssp585,4.890811663570107
TAIESM1_SSP585,CMIP6,TaiESM1,,ssp585,5.771151462708817
ACCESS-CM2_SSP585,CMIP6,ACCESS-CM2,,ssp585,5.39102945504334
INM-CM4-8_SSP585,CMIP6,INM-CM4-8,,ssp585,3.6146599896267184
CANESM5_SSP585,CMIP6,CanESM5,,ssp585,6.334634111566688
IPSL-CM6A-LR_SSP585,CMIP6,IPSL-CM6A-LR,,ssp585,5.4202551269531245
INM-CM5-0_SSP585,CMIP6,INM-CM5-0,,ssp585,3.5347878066062344
MRI-ESM2-0_SSP585,CMIP6,MRI-ESM2-0,,ssp585,4.331657059865451
CESM2_SSP585,CMIP6,CESM2,,ssp585,5.322015755063434
EC-EARTH3_SSP585,CMIP6,EC-Earth3,,ssp585,5.142454567806398
EC-EARTH3-VEG_SSP585,CMIP6,EC-Earth3-Veg,,ssp585,4.905705147445703
CAMS-CSM1-0_SSP585,CMIP6,CAMS-CSM1-0,,ssp585,3.084727816616694
BCC-CSM2-MR_SSP585,CMIP6,BCC-CSM2-MR,,ssp585,4.035788468614841
FGOALS-F3-L_SSP585,CMIP6,FGOALS-f3-L,,ssp585,4.19717903111763
CESM2-WACCM_SSP370,CMIP6,CESM2-WACCM,,ssp370,4.081606729021759
MPI-ESM1-2-HR_SSP370,CMIP6,MPI-ESM1-2-HR,,ssp370,3.260707981586679
GFDL-ESM4_SSP370,CMIP6,GFDL-ESM4,,ssp370,3.367248618711758
NORESM2-MM_SSP370,CMIP6,NorESM2-MM,,ssp370,3.172908356115274
INM-CM4-8_SSP370,CMIP6,INM-CM4-8,,ssp370,3.1285102269366143
INM-CM5-0_SSP370,CMIP6,INM-CM5-0,,ssp370,3.138785858780809
MRI-ESM2-0_SSP370,CMIP6,MRI-ESM2-0,,ssp370,3.6441541843544223
CESM2_SSP370,CMIP6,CESM2,,ssp370,4.125652032390066
EC-EARTH3_SSP370,CMIP6,EC-Earth3,,ssp370,4.327871675933922
EC-EARTH3-VEG_SSP370,CMIP6,EC-Earth3-Veg,,ssp370,4.143629197913983
CAMS-CSM1-0_SSP370,CMIP6,CAMS-CSM1-0,,ssp370,2.731655526636532
BCC-CSM2-MR_SSP370,CMIP6,BCC-CSM2-MR,,ssp370,3.705346749558091
FGOALS-F3-L_SSP370,CMIP6,FGOALS-f3-L,,ssp370,3.5539261935470017
CESM2-WACCM_SSP534-OVER,CMIP6,CESM2-WACCM,,ssp534-over,2.8538851903814497
CANESM5_SSP534-OVER,CMIP6,CanESM5,,ssp534-over,3.45430641068805
IPSL-CM6A-LR_SSP534-OVER,CMIP6,IPSL-CM6A-LR,,ssp534-over,2.792142333984375
MRI-ESM2-0_SSP534-OVER,CMIP6,MRI-ESM2-0,,ssp534-over,2.4005004128669065
CESM2-WACCM_SSP245,CMIP6,CESM2-WACCM,,ssp245,3.2470579549561784
MPI-ESM1-2-HR_SSP245,CMIP6,MPI-ESM1-2-HR,,ssp245,2.4464578826248293
GFDL-ESM4_SSP245,CMIP6,GFDL-ESM4,,ssp245,2.463254196918004
NORESM2-MM_SSP245,CMIP6,NorESM2-MM,,ssp245,2.437424526315456
CMCC-CM2-SR5_SSP245,CMIP6,CMCC-CM2-SR5,,ssp245,3.4064594399152406
INM-CM4-8_SSP245,CMIP6,INM-CM4-8,,ssp245,2.248129442250447
INM-CM5-0_SSP245,CMIP6,INM-CM5-0,,ssp245,2.302180261404603
MRI-ESM2-0_SSP245,CMIP6,MRI-ESM2-0,,ssp245,2.84405389672361
CESM2_SSP245,CMIP6,CESM2,,ssp245,3.194273593593325
EC-EARTH3_SSP245,CMIP6,EC-Earth3,,ssp245,3.2634114247690627
EC-EARTH3-VEG_SSP245,CMIP6,EC-Earth3-Veg,,ssp245,3.0618427523926948
CAMS-CSM1-0_SSP245,CMIP6,CAMS-CSM1-0,,ssp245,2.1195514734415064
BCC-CSM2-MR_SSP245,CMIP6,BCC-CSM2-MR,,ssp245,2.641108896258745
FGOALS-F3-L_SSP245,CMIP6,FGOALS-f3-L,,ssp245,2.56865741343478
GFDL-ESM4_SSP119,CMIP6,GFDL-ESM4,,ssp119,1.307174382731093
MRI-ESM2-0_SSP119,CMIP6,MRI-ESM2-0,,ssp119,1.619736088968866
EC-EARTH3-VEG_SSP119,CMIP6,EC-Earth3-Veg,,ssp119,1.7119971876884983
CAMS-CSM1-0_SSP119,CMIP6,CAMS-CSM1-0,,ssp119,1.1353587406600265
MRI-ESM2-0_SSP434,CMIP6,MRI-ESM2-0,,ssp434,2.609333595493072
MRI-ESM2-0_SSP460,CMIP6,MRI-ESM2-0,,ssp460,3.141511185093011
